,track_id,bodypump_release_number,track_title,track_type_id,muscle_group,difficulty,enjoyment,Duration,song_duration_sec,total_reps,total_reps_pulses,sec_per_rep,total_intensity,sec_per_rep_normalized,total_intensity_modulated
156,11805,118,FEELING ALIVE,05,TRICEPS,6,2,5:20,320.0,122.0,0.0,2.622950819672131,6920.0,0.9664856376025054,7159.961546004935
157,12307,123,THE WAY WE DO THIS,07,LUNGES,6,1,5:51,351.0,164.0,116.0,2.1402439024390243,9520.0,0.7410003161980118,12847.497891561014
158,9804,98,CHASED (RADIO EDIT),04,BACK,6,1,5:30,330.0,94.0,0.0,3.5106382978723403,3925.0,0.9577361073623204,4098.206144498148
159,9406,94,GET'EM UP,06,BICEPS,6,1,,,,,,,,
160,10603,106,LITTLE THING GONE WILD,03,CHEST,6,2,5:30,330.0,122.0,0.0,2.7049180327868854,6840.0,0.9921850223259635,6893.875482987132
161,12305,123,MEDICINE,05,TRICEPS,6,2,5:04,304.0,90.0,40.0,3.3777777777777778,5780.0,1.244618726645893,4643.992474367188
162,11806,118,DRIP,06,BICEPS,6,1,4:28,268.0,68.0,12.0,3.9411764705882355,4180.0,1.1582179545806819,3608.99257645623
163,10804,108,THERAPY (EXTENDED CLUB MIX),04,BACK,6,1,6:15,375.0,65.0,0.0,5.769230769230769,2885.0,1.5739019946164008,1833.0239175426843
164,10602,106,I AM HERE,02,SQUATS,5,4,5:21,321.0,122.0,48.0,2.6311475409836067,6380.0,0.8935573543931321,7140.000547959271
165,10002,100,KRAKEN,02,SQUATS,5,3,,,,,,,,
166,11907,119,GIRL WITH THE BAT,07,LUNGES,5,5,5:54,354.0,115.0,64.0,3.0782608695652174,6940.0,1.065762773620507,6511.768070509816
167,10202,102,FIND ME,02,SQUATS,5,3,,,,,,,,
168,9303,93,KINGS AND QUEENS,03,CHEST,5,2,,,,,,,,
169,10402,104,BLACK ROSE,02,SQUATS,6,4,,,,,,,,
170,9207,92,STAY THE NIGHT,07,LUNGES,5,4,,,,,,,,
171,10902,109,NATURAL,02,SQUATS,5,3,6:25,385.0,146.0,96.0,2.636986301369863,7330.0,0.8955402410243122,8185.003491988256
172,9902,99,POWER GLOVE,02,SQUATS,5,3,6:00,360.0,106.0,0.0,3.3962264150943398,6260.0,1.153383853669146,5427.507919488972
173,11705,117,HOW YOU LIKE THAT,05,TRICEPS,5,4,4:48,288.0,80.0,0.0,3.6,4340.0,1.3265015376094387,3271.7640175686133
174,10502,105,DO OR DIE,02,SQUATS,5,2,5:40,340.0,94.0,0.0,3.617021276595745,5140.0,1.2283674375365254,4184.415707329561
175,8502,85,ANTIDOTE,02,SQUATS,5,1,,,,,,,,
176,9202,92,WHAT NOW,02,SQUATS,5,1,,,,,,,,
177,9402,94,EVERYBODY GO!,02,SQUATS,5,1,5:36,336.0,96.0,0.0,3.5,5320.0,1.1886261380868144,4475.755521044616
178,11003,110,HEADS UP,03,CHEST,5,3,,,,,,,,
179,10704,107,BOOM,04,BACK,5,5,5:38,338.0,104.0,0.0,3.25,3690.0,0.8866314569672391,4161.819401966408
180,10703,107,DANGEROUS NIGHT,03,CHEST,5,2,5:29,329.0,126.0,36.0,2.611111111111111,6770.0,0.9577759121240866,7068.459244277694
181,9502,95,AUTOEROTIQUE & 4B - BUKEM,02,SQUATS,5,1,5:13,313.0,89.0,0.0,3.5168539325842696,4735.0,1.1943498594580189,3964.499985078647
182,11002,110,WILD WILD SON (CLUB MIX),02,SQUATS,5,1,,,,,,,,
183,10803,108,GREAT WIDE OPEN,03,CHEST,5,1,,,,,,,,
184,11604,116,LACRIMOSA,04,BACK,5,3,5:27,327.0,117.0,0.0,2.7948717948717947,6930.0,0.7624680773919452,9088.905103679044
185,11905,119,WHAT'S UP DANGER,05,TRICEPS,5,3,5:23,323.0,99.0,52.0,3.2626262626262625,5245.0,1.2021885427829648,4362.876381984367
186,11709,117,LEVITATING,09,CORE,5,5,3:28,208.0,86.0,18.0,2.4186046511627906,2070.0,0.594357792651964,3482.750669026935
187,9805,98,TWO MINDS,05,TRICEPS,6,2,,,,,,,,
188,11906,119,BOOM! SHAKE THE ROOM,06,BICEPS,5,4,4:48,288.0,114.0,44.0,2.526315789473684,6930.0,0.742424077720217,9334.287785062346
189,9507,95,CALVIN HARRIS & R3HAB - BURNIN',07,LUNGES,5,1,6:02,362.0,154.0,84.0,2.3506493506493507,8440.0,0.813847389130195,10370.494656277398
190,11909,119,NOBODY LIKE YOU,09,CORE,5,5,5:18,318.0,124.0,64.0,2.564516129032258,3515.0,0.630214675614373,5577.464530754311
191,12306,123,BAD GIRLS,06,BICEPS,5,1,5:15,315.0,89.0,0.0,3.539325842696629,5925.0,1.0401236201206692,5696.438274627986
192,12409,124,NOW IS WHEN I NEED YOU,09,CORE,5,5,5:12,312.0,70.0,0.0,4.457142857142857,1880.0,1.0953165036014765,1716.398861715705
193,11209,112,NO NEW FRIENDS,09,CORE,3,5,,,,,,,,
194,8505,85,LET IT ROLL,05,TRICEPS,4,4,,,,,,,,
195,13109,131,SWISH SWISH,09,CORE,5,3,,,,,,,,
196,9309,93,ALL ABOUT THAT BASS,09,CORE,3,3,,,,,,,,
197,10309,103,I LOVE YOU,09,CORE,3,4,,,,,,,,
198,10409,104,NO VACANCY,09,CORE,4,4,,,,,,,,
199,11603,116,WHOPPA,03,CHEST,4,3,5:12,312.0,87.0,16.0,3.586206896551724,4200.0,1.3154486481997727,3192.8270295825037
200,11706,117,FRENCH TOAST,06,BICEPS,4,5,4:46,286.0,62.0,24.0,4.612903225806452,3570.0,1.355622459116821,2633.4765819133972
201,10401,104,MORE THAN YOU KNOW,01,WARMUP,2,5,,,,,,,,
202,10609,106,REVENGE,09,CORE,4,4,3:50,230.0,64.0,30.0,3.59375,985.0,0.8831428139014309,1115.3348977031224
203,11701,117,HEAVEN ON MY MIND,01,WARMUP,2,5,4:52,292.0,120.0,0.0,2.433333333333333,4360.0,0.6820598026005499,6392.401345712269
204,8509,85,ONE MORE NIGHT,09,CORE,3,3,,,,,,,,
205,9509,95,MAROON 5 - SUGAR,09,CORE,2,4,3:59,239.0,42.0,16.0,5.690476190476191,760.0,1.3984008779954749,543.4779196430534
206,11201,112,SO CLOSE,01,WARMUP,2,5,,,,,,,,
207,9609,96,WANT TO WANT ME,09,CORE,3,4,3:32,212.0,46.0,24.0,4.608695652173913,580.0,1.1325597069011923,512.1142810094698
208,12401,124,DRIVE AWAY,01,WARMUP,2,5,5:13,313.0,77.0,0.0,4.064935064935065,3715.0,1.139395400537122,3260.501137926933
209,10809,108,LET YOU BE RIGHT,09,CORE,3,3,3:57,237.0,54.0,30.0,4.388888888888889,810.0,1.0785434944651293,751.0128280934046
210,10301,103,PLACES,01,WARMUP,3,4,,,,,,,,
211,12309,123,MONEY MONEY,09,CORE,3,4,4:02,242.0,50.0,4.0,4.84,1230.0,1.1894013827569878,1034.133655662066
212,12709,127,GUERRILLA,09,CORE,3,4,4:35,275.0,104.0,16.0,2.644230769230769,2040.0,0.6498040771181096,3139.407818195646
213,10509,105,SWEAT,09,CORE,3,3,3:09,189.0,56.0,48.0,3.375,1020.0,0.8293862947943873,1229.8250000054168
214,11109,111,FOOLISH,09,CORE,3,3,3:24,204.0,96.0,64.0,2.125,2350.0,0.5222061856112808,4500.138192061344
215,9809,98,MY HOUSE,09,CORE,2,3,4:08,248.0,50.0,16.0,4.96,960.0,1.2188906732385663,787.601399434209
216,9301,93,BREAK FREE,01,WARMUP,3,4,,,,,,,,
